Vague;Frame_Index;Temps_Total(ms);FPS_Instantane
0;50;16;19;16;16;20;19;18;17;17;18
0;54;16;16;16;16;16;35;16;17;17;23
0;47;23;22;25;30;27;18;17;18;20;24
0;46;18;19;17;19;21;26;27;22;23;18
0;49;17;21;20;18;20;21;20;25;22;21
0;44;21;22;19;24;21;20;19;20;20;26
0;43;22;21;22;22;23;24;23;22;25;24
0;47;21;21;22;20;20;21;23;31;26;18
0;46;16;16;18;27;25;16;17;20;20;16
0;47;18;18;16;17;18;19;20;21;20;22
0;46;32;28;16;22;28;17;16;19;22;20
0;45;23;25;22;18;19;20;21;18;16;17
1;41;27;51;40;25;29;35;36;38;34;36
1;27;41;38;34;30;32;39;38;40;53;35
1;24;59;44;37;39;42;48;41;46;42;41
1;25;46;34;45;42;37;39;40;32;39;39
1;25;43;41;40;40;40;41;39;42;32;32
1;24;46;46;60;41;29;30;43;44;43;41
1;25;53;42;39;36;44;44;44;40;44;45
1;26;42;44;45;49;38;31;40;39;28;59
1;27;28;31;30;28;27;31;32;30;40;42
1;26;50;44;26;43;44;42;39;31;43;50
1;28;32;31;27;30;37;35;29;28;29;40
1;27;30;29;40;42;31;37;30;27;27;27
1;25;33;40;41;41;30;32;45;46;45;44
1;27;39;41;43;34;28;28;42;41;29;34
1;26;29;41;41;32;43;47;37;33;43;30
1;29;26;26;30;29;33;32;33;30;31;39
1;30;33;43;42;31;31;38;28;30;43;30
1;30;28;26;27;34;32;29;31;28;26;33
1;30;37;26;36;31;32;37;28;31;25;30
1;30;29;31;51;26;29;33;31;31;29;34
1;29;34;30;48;37;26;26;35;42;38;24
2;29;36;26;33;27;47;38;39;39;41;40
2;22;42;46;60;47;40;41;40;45;44;47
2;22;42;38;40;41;43;57;41;41;55;41
2;21;45;57;42;43;58;44;41;62;44;47
2;22;45;54;39;35;58;43;41;43;40;42
2;22;40;50;43;44;42;43;46;47;45;47
2;22;43;46;42;42;43;42;43;41;49;44
2;21;46;50;44;50;43;43;47;44;45;54
2;22;43;45;51;42;41;40;40;40;43;44
2;22;41;44;43;44;46;40;57;41;39;40
2;24;41;40;42;44;40;38;54;39;39;45
2;22;56;45;48;44;44;47;44;46;44;43
2;22;48;46;45;52;45;42;43;54;43;41
2;24;44;41;30;50;31;41;42;43;54;40
2;27;31;27;33;27;27;37;30;39;42;41
2;27;40;32;29;27;30;43;41;33;44;44
2;28;39;29;39;31;40;31;42;43;43;35
2;27;38;37;38;25;26;41;28;41;40;40
2;30;34;23;29;24;25;36;28;29;39;28
2;28;27;27;24;28;31;42;48;50;53;45
2;27;26;27;27;38;28;36;40;40;39;38
2;30;31;27;29;28;39;42;40;42;29;39
3;29;37;37;39;48;36;30;35;26;22;54
3;22;49;47;46;43;49;50;41;43;50;48
3;21;43;43;51;45;51;47;52;49;50;49
3;20;44;43;47;58;46;49;49;54;44;43
3;20;57;43;44;51;42;49;45;56;43;55
3;21;53;42;58;45;39;41;48;40;42;41
3;21;42;41;48;42;59;42;41;42;45;49
3;21;42;45;42;54;43;42;45;59;39;39
3;22;47;41;39;43;43;45;45;45;46;45
3;22;41;41;43;47;45;46;46;47;43;43
3;21;63;48;44;40;46;44;41;38;39;40
3;23;43;44;51;43;49;41;39;41;55;42
3;23;39;50;38;40;43;47;38;51;39;58
3;25;38;37;39;27;37;41;39;38;40;39
3;27;40;31;39;40;30;39;48;38;38;51
3;24;42;41;41;41;41;42;41;40;38;39
3;26;40;30;37;30;37;49;48;32;44;46
3;28;30;28;27;25;23;24;44;36;24;32
3;26;39;42;40;37;29;53;43;37;39;38
3;28;33;37;27;39;29;38;29;40;39;37
3;30;27;26;29;39;43;38;28;40;27;39
3;29;30;39;30;39;39;38;40;36;29;48
3;28;28;41;37;35;27;24;34;35;24;27
3;30;23;29;40;38;38;24;37;28;41;39
3;30;38;28;39;29;24;29;27;38;37;30
4;25;41;41;43;48;54;49;49;57;47;52
4;20;47;49;55;50;47;53;50;50;50;52
4;19;45;48;66;47;47;63;49;58;45;48
4;20;43;51;64;45;43;41;51;46;48;63
4;20;46;47;45;48;45;45;44;48;51;48
4;20;53;44;53;43;43;43;45;45;51;49
4;19;46;51;46;46;53;46;67;51;51;66
4;20;45;48;64;45;46;42;58;40;44;43
4;22;64;45;40;42;61;41;40;42;43;44
4;21;47;50;43;42;61;44;45;41;46;43
4;22;55;40;39;40;40;42;41;44;41;45
4;22;42;42;53;43;47;41;52;42;38;57
4;22;46;42;42;55;39;41;47;32;42;39
4;24;55;39;33;38;38;48;39;40;40;38
4;25;41;28;41;40;31;35;42;48;31;37
4;22;37;40;51;44;43;44;46;44;46;46
4;24;45;40;39;40;43;50;41;40;40;40
4;23;41;41;42;42;42;40;47;44;45;47
4;22;42;44;42;40;41;51;42;49;42;48
4;24;56;41;41;41;39;40;40;39;41;40
4;24;44;43;49;38;44;38;32;40;30;41
4;26;27;37;40;37;26;42;40;42;38;36
4;28;38;27;26;25;29;40;37;34;26;41
4;26;38;38;35;38;38;37;36;36;37;38
4;26;36;25;36;28;37;40;45;42;41;46
4;30;39;36;25;33;23;33;26;28;39;37
4;28;29;27;27;38;37;27;36;41;44;38
5;21;48;74;56;45;47;64;51;54;55;67
5;18;47;48;63;59;52;62;52;51;55;56
5;17;52;50;56;61;64;54;50;52;55;55
5;16;57;79;52;59;52;57;54;51;68;52
5;18;53;53;55;50;63;53;60;47;42;57
5;18;54;53;66;50;58;52;48;50;47;59
5;18;53;52;49;52;62;70;47;48;47;57
5;19;46;52;56;57;60;51;54;50;53;56
5;18;53;52;51;47;54;58;58;47;49;64
5;18;50;52;47;53;47;65;47;47;53;66
5;20;49;54;50;49;48;48;49;43;47;43
5;20;52;49;44;43;42;44;53;53;64;49
5;21;45;52;42;51;47;46;51;61;41;41
5;21;48;46;48;44;49;41;49;44;45;45
5;21;42;52;47;42;40;43;42;54;42;41
5;22;40;39;39;40;51;39;49;42;42;39
5;24;38;39;39;43;42;51;39;38;42;41
5;23;42;42;42;41;43;42;40;41;47;42
5;23;49;39;39;30;42;49;45;44;44;42
5;23;40;45;59;43;40;46;49;52;42;41
5;23;41;40;34;45;47;42;46;43;46;46
5;22;51;41;40;40;47;42;41;42;45;41
5;22;37;44;48;42;41;41;57;51;41;38
5;23;44;38;35;38;29;41;41;40;40;41
5;24;39;38;42;41;43;41;42;42;39;42
5;23;42;40;43;39;39;44;44;45;50;41
5;25;40;40;48;42;36;37;37;38;39;39
5;24;39;41;41;40;38;38;41;40;38;38
5;26;40;37;37;38;40;39;38;40;40;39
6;20;49;47;52;51;66;52;65;51;53;50
6;15;60;69;63;54;57;76;54;91;74;73
6;15;57;60;59;53;56;63;61;56;78;60
6;14;63;96;57;93;62;86;62;68;73;71
6;15;59;63;57;68;61;65;58;62;73;81
6;16;62;72;56;59;61;70;55;51;59;60
6;16;52;67;51;49;68;53;55;64;59;53
6;16;52;66;51;71;60;58;57;53;62;50
6;17;61;59;52;57;51;54;81;46;60;46
6;18;44;47;55;51;75;55;63;64;58;50
6;17;72;48;57;48;54;49;51;75;50;52
6;19;49;49;65;48;44;47;54;60;48;46
6;18;54;53;63;53;46;50;48;47;46;57
6;19;47;50;48;47;49;54;47;46;47;58
6;20;46;49;48;44;44;47;52;48;47;56
6;20;46;47;54;44;45;55;46;44;43;44
6;20;46;47;56;52;48;45;46;42;57;56
6;19;54;56;49;51;44;52;46;48;49;53
6;20;45;57;44;44;55;48;44;47;45;50
6;20;52;59;42;42;43;43;46;56;45;43
6;21;44;46;45;46;50;41;46;46;42;41
6;23;40;40;45;53;43;40;42;42;46;47
6;22;42;41;39;45;44;43;44;41;39;41
6;22;41;42;43;43;42;58;54;44;41;40
6;22;54;41;46;45;46;42;41;42;42;41
6;22;43;45;46;43;43;42;43;43;42;43
6;23;44;41;41;40;40;39;38;41;42;45
6;24;42;43;41;44;47;40;39;37;39;39
6;25;37;40;42;42;40;38;38;38;38;38
7;23;39;40;39;40;36;38;75;62;55;60
7;14;76;67;65;71;70;79;73;78;61;64
7;14;69;60;63;71;59;87;70;63;69;64
7;14;79;65;62;61;65;60;70;66;70;73
7;14;67;73;64;67;63;70;65;72;63;77
7;13;66;75;69;71;72;71;75;71;76;73
7;14;68;71;68;71;71;59;57;74;62;69
7;14;76;74;67;63;84;63;67;67;73;75
7;14;78;64;58;71;69;72;57;78;58;68
7;14;68;79;58;84;64;62;77;76;64;62
7;15;58;75;55;66;63;72;65;71;70;61
7;15;60;64;70;68;74;52;66;53;62;61
7;16;54;55;52;63;49;74;52;51;68;52
7;17;50;51;54;50;63;47;59;50;57;49
7;17;73;51;47;55;49;57;55;51;55;56
7;18;43;60;55;52;46;43;45;51;57;57
7;18;51;44;49;52;48;50;56;59;58;51
7;20;43;56;49;51;51;47;46;49;52;46
7;20;48;49;51;56;43;44;48;47;58;49
7;20;46;48;52;59;46;49;50;46;51;47
7;20;47;46;53;46;47;45;46;45;45;44
7;21;49;48;46;52;42;41;44;45;45;43
7;21;44;42;44;46;45;45;44;45;45;44
7;21;42;49;44;46;43;47;41;41;42;51
7;22;46;47;43;43;41;45;41;43;42;42
7;22;46;50;49;44;42;43;46;43;44;45
7;22;47;43;43;42;45;43;43;44;45;47
7;21;49;43;53;42;40;47;45;41;42;54
7;23;44;42;44;44;44;44;44;41;42;43
7;23;42;41;41;42;42;42;44;41;42;44
7;23;44;46;40;41;48;40;41;47;43;43
7;23;41;41;40;43;40;40;47;39;41;42
8;13;78;75;76;62;71;66;76;76;73;79
8;11;103;77;79;94;103;94;83;87;75;72
8;11;94;81;76;76;98;70;97;72;92;75
8;12;68;95;72;88;80;67;98;66;90;67
8;12;86;74;69;88;65;95;68;99;67;65
8;13;91;65;76;83;73;81;66;66;69;66
8;14;76;58;73;68;62;67;77;59;70;73
8;13;71;74;74;64;69;68;67;74;64;73
8;14;68;58;55;68;57;60;63;85;54;80
8;15;58;77;71;54;53;58;58;58;62;81
8;16;56;56;60;67;67;51;53;65;56;62
8;15;61;79;68;60;57;57;61;59;58;59
8;17;50;50;51;55;67;53;48;61;49;52
8;18;50;58;56;55;48;50;68;47;57;49
8;18;47;53;47;54;46;46;47;47;58;66
8;19;43;42;56;49;42;43;45;56;54;53
8;19;51;54;54;57;62;52;49;48;55;56
8;19;48;49;59;47;58;45;46;58;49;49
8;20;46;49;45;45;50;45;49;55;55;52
8;20;50;51;57;52;53;50;48;45;44;51
8;20;49;52;46;45;53;46;48;52;45;44
8;21;47;51;42;45;46;49;45;44;48;49
8;21;46;48;45;47;47;45;44;45;43;45
8;21;46;49;53;44;46;49;48;45;48;46
8;20;45;52;49;46;49;50;51;51;54;45
8;18;99;98;70;55;46;44;45;44;45;49
8;20;45;47;55;49;46;61;51;48;48;44
8;21;49;47;46;44;47;48;45;45;43;47
8;20;43;40;42;44;43;44;48;42;42;47
8;22;47;46;44;45;45;43;41;43;44;44
8;22;45;41;49;41;41;44;45;43;43;47
8;21;46;44;46;43;47;43;43;46;44;44
8;22;46;43;45;46;46;45;45;43;42;46
8;22;44;47;47;44;41;43;44;52;46;44
9;14;94;63;72;66;79;77;70;69;68;83
9;12;78;81;89;86;76;85;78;77;91;85
9;11;79;88;93;90;83;77;77;80;84;78
9;10;90;115;83;90;88;82;92;92;87;84
9;11;80;100;105;81;106;74;92;73;92;73
9;12;71;83;86;91;72;66;73;70;73;75
9;12;72;72;94;77;78;73;78;102;73;90
9;11;71;72;103;79;87;91;77;72;94;72
9;12;80;67;92;80;77;69;80;76;73;74
9;13;80;76;74;66;67;92;63;82;76;66
9;14;75;72;67;66;65;61;82;64;65;66
9;14;64;90;67;58;57;61;62;95;52;72
9;15;60;65;70;92;63;61;60;65;59;58
9;15;59;53;62;53;60;59;61;68;63;63
9;15;62;58;71;61;65;61;66;67;69;56
9;16;60;57;58;64;60;58;58;67;60;60
9;18;49;55;54;58;57;49;59;50;50;60
9;17;53;55;56;57;57;60;55;57;55;59
9;17;53;67;52;49;57;61;50;51;52;53
9;18;50;55;47;47;55;50;58;61;55;55
9;18;53;64;49;49;49;50;49;54;51;47
9;20;48;41;42;45;55;42;50;51;50;44
9;20;41;42;53;47;54;53;60;48;51;50
9;19;55;56;46;46;50;45;50;52;61;53
9;19;68;47;41;46;48;68;65;49;46;50
9;19;46;51;50;47;45;60;48;53;51;43
9;21;62;43;35;35;33;50;38;54;41;37
9;23;43;56;45;62;43;41;42;47;40;40
9;20;45;45;45;50;46;44;48;45;47;43
9;20;51;48;49;46;47;47;47;47;49;47
9;21;47;44;47;46;45;47;44;46;53;42
9;21;46;47;46;44;45;48;46;45;46;45
9;20;45;45;47;46;46;46;44;43;49;52
9;21;48;46;47;48;45;46;51;42;47;47
9;22;44;42;48;46;46;47;47;48;47;47
10;17;43;42;46;47;98;75;76;85;72;84
10;11;79;76;80;87;82;78;89;89;84;97
10;10;78;84;90;98;85;108;104;84;91;96
10;10;95;98;87;88;94;94;103;109;90;92
10;10;90;91;91;107;101;85;101;102;106;84
10;10;91;85;113;81;109;93;76;82;106;78
10;11;75;93;89;100;80;95;85;90;94;79
